Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,107.059673107,2.74557414642,2.39288215111,68.3458646334,2.68041601173,16.0824960704,7.82531271371,7.80531271371,0.02
 01/01  02:00:00,87.0777276618,2.22638120234,2.04024038583,49.2357538974,2.68041601173,16.0824960704,5.11925274317,5.09925274317,0.02
 01/01  03:00:00,101.175042676,2.78297650293,2.53258852125,62.2841254758,2.68041601173,16.0824960704,7.52562502573,6.42265161477,1.10297341096
 01/01  04:00:00,84.829138779,2.22638120234,2.08232640863,46.9450789919,2.68041601173,16.0824960704,4.6382996329,4.6182996329,0.02
 01/01  05:00:00,99.3095345623,2.78297650293,2.56823157173,60.3829743114,2.68041601173,16.0824960704,6.81859936735,5.71557213514,1.10302723221
 01/01  06:00:00,84.7076678041,2.22638120234,2.08790903324,46.8180253923,2.68041601173,16.0824960704,4.21962607025,4.19962607025,0.02
 01/01  07:00:00,100.302947525,2.78297650293,2.5453676104,61.399251236,2.68041601173,16.0824960704,6.6688472318,5.56581333616,1.10303389564
 01/01  08:00:00,73.4079496571,2.22638120234,2.06597485073,45.4095747611,2.68041601173,16.0824960704,4.11804783211,4.09804783211,0.02
 01/01  09:00:00,68.7457063844,2.78297650293,2.61115698692,44.5802207184,2.68041601173,16.0824960704,4.92775673274,4.90775673274,0.02
 01/01  10:00:00,49.6638160224,2.22638120234,2.25672811261,26.4093545313,2.68041601173,16.0824960704,4.27817460242,3.17520256913,1.10297203329
 01/01  11:00:00,53.6666036056,2.43461500481,2.28499043347,30.1756459911,2.68041601173,16.0824960704,3.39518396716,3.37518396716,0.02
 01/01  12:00:00,43.3982042588,1.52965820611,1.04932957773,22.0478642988,2.68041601173,16.0824960704,3.0447996976,1.94166265178,1.10313704581
 01/01  13:00:00,49.0568020321,1.91207275764,1.3077436107,27.0656334875,2.68041601173,16.0824960704,2.44063728807,2.42063728807,0.02
 01/01  14:00:00,49.8088849828,2.01736430347,2.02307715335,26.9970913498,2.68041601173,16.0824960704,2.73428951741,1.63101812589,1.10327139152
 01/01  15:00:00,58.1121984449,2.7133042033,2.84557524764,33.7819668177,2.68041601173,16.0824960704,3.48041632009,2.3773121335,1.10310418659
 01/01  16:00:00,52.1573600319,2.22638120234,2.42255830714,28.7370683462,2.68041601173,16.0824960704,1.52241818419,1.50241818419,0.02
 01/01  17:00:00,76.016307754,2.78297650293,2.91654366959,44.1434354053,2.68041601173,16.0824960704,2.69352598468,2.67352598468,0.02
 01/01  18:00:00,78.0325161719,2.22638120234,2.27578425363,39.9549985398,2.68041601173,16.0824960704,3.67181918422,2.56878736919,1.10303181503
 01/01  19:00:00,95.335083115,2.78297650293,2.71893366671,56.2578207692,2.68041601173,16.0824960704,4.32661965501,4.30661965501,0.02
 01/01  20:00:00,83.6916662382,2.22638120234,2.162112981,45.7278198786,2.68041601173,16.0824960704,4.77968695382,3.67671441854,1.10297253528
 01/01  21:00:00,102.708855522,2.78297650293,2.59704468042,63.7534821627,2.68041601173,16.0824960704,5.79894294928,5.77894294928,0.02
 01/01  22:00:00,89.8720759408,2.22638120234,2.06374646072,52.0065961015,2.68041601173,16.0824960704,6.10628658472,5.00317547829,1.10311110643
 01/01  23:00:00,109.902304883,2.78297650293,2.4660860996,71.0778901046,2.68041601173,16.0824960704,7.46390851224,7.44390851224,0.02
 01/01  24:00:00,94.5713862814,2.22638120234,1.97483290947,56.7948199934,2.68041601173,16.0824960704,6.13821763725,6.11821763725,0.02
 01/02  01:00:00,118.029133771,2.78297650293,2.37594763085,73.9340254376,2.68041601173,21.4433280938,9.77386354332,8.67082814666,1.10303539667
 01/02  02:00:00,100.824902158,2.22638120234,1.92642132366,57.7359154327,2.68041601173,21.4433280938,7.01134238605,6.99134238605,0.02
 01/02  03:00:00,120.088655478,2.78297650293,2.31686921052,76.0526255649,2.68041601173,21.4433280938,10.7197777247,9.6166933647,1.10308435996
 01/02  04:00:00,101.98891085,2.22638120234,1.88220084702,58.9441446014,2.68041601173,21.4433280938,7.592003104,7.572003104,0.02
 01/02  05:00:00,121.999070393,2.78297650293,2.26546547013,78.0144442202,2.68041601173,21.4433280938,11.3218821673,10.2188598306,1.10302233671
 01/02  06:00:00,106.092930255,2.22638120234,1.87595927041,60.3739895712,5.36083202345,21.4433280938,8.02953733973,8.00953733973,0.02
 01/02  07:00:00,312.930550233,3.33957180351,4.74368091646,263.230697302,5.36083202345,21.4433280938,4.71385345745,3.6106460301,1.10320742735
 01/02  08:00:00,281.421114432,3.33957180351,0.0,224.374150165,16.0824960704,32.6817896323,105.667955482,104.564293268,1.10366221362
 01/02  09:00:00,272.278819949,3.33957180351,0.0,150.280007454,48.2474882111,70.4033123869,99.1622204919,96.9732711354,2.18894935649
 01/02  10:00:00,238.633557969,3.33957180351,0.0,124.983316902,48.2474882111,62.0547409583,90.4589743912,88.2696735732,2.18930081799
 01/02  11:00:00,216.034254046,3.33957180351,0.0,104.310606385,48.2474882111,60.1281475517,83.3013018313,81.1120110757,2.18929075556
 01/02  12:00:00,201.877307236,3.33957180351,0.0,88.2270661687,48.2474882111,62.0547409583,78.0778103163,74.8027474132,3.27506290309
